waktu_diambil,tahun,bulan,nama_provinsi,nama_kota,sandi,nama,asset,asd,kyd,Kredit yang Diberikan Tahun Sebelumnya,total_hutang,Total Hutang Tahun Sebelumnya,Laba (Rugi) Tahun-tahun Lalu Saat Ini,Laba (Rugi) Tahun-tahun Lalu Tahun Sebelumnya,laba_saat_ini,laba_tahun_lalu,npl_net,kpmm,kap,ppap,roa,cr,ldr,bopo,direksi,dewan_komisaris
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Tulang Bawang,602642-PT. BPR Cempaka Mitra Usaha,602642-PT. BPR Cempaka Mitra Usaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Tengah,601288-PT Bank Perekonomian Rakyat Bahtera Artha Jaya,601288-PT Bank Perekonomian Rakyat Bahtera Artha Jaya,14323208,8721161,9811180,6576773,11206278,8171385,"-3,625,968","-2,927,791",142898,"-122,433",14.69,49.84,11.49,100,-3.93,17.74,71.5,117.59,,
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Tengah,602645-PT Bank Perekonomian Rakyat Tara Dharma Artha,602645-PT Bank Perekonomian Rakyat Tara Dharma Artha,59769981,51047785,44045413,40960008,52234337,43817893,0,1638772,735177,714850,1.58,26.19,1.53,100,1.68,54.58,77.48,75.6,"I MADE NATA, I WAYAN EDIYASA","I KOMANG KOHERI, BAMBANG WIJONARKO"
5/21/2025 21:13,2021,Maret,Provinsi Kep. Riau,Kota Batam,602675-PT Bank Perekonomian Rakyat Dana Mitra Utama,602675-PT Bank Perekonomian Rakyat Dana Mitra Utama,211369656,215174328,159174181,161016931,188054793,192733811,1597547,1757508,156397,"-120,401",8.82,19.07,6.4,100,0.09,11.95,77.28,96.93,"SUSANTO, SARI PUJIATI","ROBERT MULIAWAN, JASMAN, IRWANDI HALIM, ROBERT MULIAWAN, JASMAN"
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Selatan,601112-PT Bank Perekonomian Rakyat Danamaster Bahtera,601112-PT Bank Perekonomian Rakyat Danamaster Bahtera,6042332,5358398,5203655,4850825,2297923,3381327,802839,265396,241570,111675,1.43,96.19,6.24,92.11,11.25,35.57,95.3,45.56,"ADRI HERMANTO LATALA,SE, ABDURAHIM, A.MD","DRS. ANTHONY R SIPAHUTAR, MM, INGRID PAAGO"
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Selatan,602025-PT Bank Perekonomian Rakyat Tahuan Ganda,602025-PT Bank Perekonomian Rakyat Tahuan Ganda,32579203,33023319,18802342,25523936,19590209,19284366,4555990,4819181,1180606,1667374,0.3,61.72,0.87,100,4.23,56.28,62.34,52.62,"HERIKSON LAJU SIAHAAN, SE, SUHARTANTO, A.MD","DRS.WILSON M SITORUS, DAMRI SIAGIAN, S.E, LUCERIA SIAGIAN, PORMAN ARITONANG, DRS. WILSON M SITORUS, ROBERT SITORUS, DRS. OSCAR SITORUS, SIHAR PANGIHUTAN HAMONANGAN SITORUS, SABAR GANDA LEONARDO SITORUS, HAKIM AGUNG SUNGKUNAN SITORUS, ADUMAHATI RENTAULI MINDOSARI SITORUS, IKA ROHANI TIURLARA SITORUS"
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Tengah,602028-PT Bank Perekonomian Rakyat Tataarta Swadaya,602028-PT Bank Perekonomian Rakyat Tataarta Swadaya,37260141,31657622,21195508,20949974,29090759,27964308,"-5,173,160","-6,594,808",143784,592064,13.09,60,9.57,100,2.83,36.24,61.59,85.78,"AGUS FADLI, YUSTINA WINDARTI","SURYO DWIANTO AGUNG NUGROHO, ASSOC. PROF. DR. SUHARTO,S.E.,M.M., YAYASAN BINA SWADAYA"
5/21/2025 21:13,2021,Maret,Provinsi Lampung,Kab. Lampung Utara,601114-PT Bank Perekonomian Rakyat Bungamayang Agroloka,601114-PT Bank Perekonomian Rakyat Bungamayang Agroloka,40475076,39879178,26641740,28878543,26387096,25832815,0,1425167,511311,496052,4.95,77.54,6.19,100,3.14,34.72,80.64,82.2,"NUGROHO DEWANTO, SULISTYOWATI","IYUSHAR GANDA SAPUTRA, SUMARDI, KOPKAR RUWA JURAI"
5/21/2025 21:14,2021,Maret,Provinsi Lampung,Kab. Lampung Timur,602022-PT Bank Perekonomian Rakyat Fajar Warapastika,602022-PT Bank Perekonomian Rakyat Fajar Warapastika,26920167,20404118,15682525,9178080,18748172,14245492,1079395,"-176,454",415841,182321,1.67,53.34,0.88,100,6.69,12.06,64.15,67.45,"RUDY SURJAASMADJAJA, S.E., M.H.","HJ. WATI RAHMI RIA, S.H., M.H."
5/21/2025 21:14,2021,Maret,Provinsi Lampung,Kab. Lampung Timur,600273-PT Bank Perekonomian Rakyat Labuhan Dana Sentosa,600273-PT Bank Perekonomian Rakyat Labuhan Dana Sentosa,17406265,15930141,12340956,12106103,11461338,10432850,1359929,747144,69819,234968,13.95,76.9,8,100,2.77,56.54,79.87,83.56,"Novriza, Yusuf Kurniawan","Dian Patrianda, Charles Sidik Jonan"
